file_name,full_path,parent_folder
2.pdf,/home/vivek/Desktop/inte/hostel/clim_id_2/2.pdf,clim_id_2
FIL_Stock Market.pdf,/home/vivek/Desktop/inte/hostel/clim_id_1/FIL_Stock Market.pdf,clim_id_1
